brewery_id,brewery.name,brewery.address,brewery.contact,brewery.homepage,brewery_programs
1,,,,,
2,12월의양조장,강원도 원주시 신림면 삼봉2길 27,010-3762-0051,https://ssalosul2016.modoo.at/?link=aas2x3wu,
3,264청포도와인,경상북도 안동시 도산면 백운로 157,054-859-0264,http://264wine.kr/htm/main.htm,
4,C막걸리,경기도 양평군 옥천면 아신역1길 21 (청풍빌딩) 2층,031-774-6334,https://smartstore.naver.com/cmakgeolli,
5,We와이너리,경상북도 영천시 금호읍금호로38621,,https://smartstore.naver.com/wewinery,
6,가나다라브루어리,경상북도 문경시 문경대로 6251,070-7799-2428,http://www.ganadara.co.kr/,
7,가야양조장,대한민국 경상남도 김해시 한림면 46번길 791,055-342-9003,https://shopping.naver.com/fresh/traditionalalcohol/stores/102132925,
8,가야주조,,,https://smartstore.naver.com/sooldamhwashop/products/8758734273?,
9,갈기산,충북 영동군 학산면 모리1길 4,043-743-8738,http://www.galgisan.com,"원데이 클래스 | 장소 | 본사 2층 체험 교육장 | 내용 | 증류주+와인을 활용한 하이볼 만들기 > 캔시머에 담아가기 | 소요시간 | 1시간 이내 | 투어비용 | 1인 20,000원 (2인 이상 가능) | 뱅쇼 만들기 | 장소 | 본사 2층 체험 교육장 | 내용 | 각종 향신채+과일+레드와인을 함께 끓이며 와인 시음 | 소요시간 | 1시간 이내 | 투어비용 | 1인 20,000원 / 4인 70,000원 (4인 이상 가능) | 시음(4종)+미니어쳐 1종 증정 (7,000원 상당) | 장소 | 본사 시음장 | 내용 | 포엠 와인 4종 시음 | 소요시간 | 30분 이내 | 투어비용 | 10,000원"
10,갈기산포도농원,충북 영동군 학산면 모리1길 23,043-743-8733,,
11,감홍로,경기도 파주시 파주읍 윗가마울길 149,031-954-6233,https://gamhongro43.modoo.at/?link=71vb2izg,
12,같이양조장,서울 마포구 양화진4길 17,0507-1493-9991,https://www.instagram.com/togetherbrewery/,
13,거창사과원예농협,경남 거창군 거창읍 거함대로 345241,055-945-2544,http://kcapple.nonghyup.com,
14,경원리큐르,,031-987-9562,,
15,경주교촌도가영농조합,경상북도 경주시 교촌안길 25,054-777-1779,https://smartstore.naver.com/1779choi,
16,계룡백일주,충남 공주시 봉정동 390,041-853-8511,https://paegilju.modoo.at/,
17,고금주조장,전남 완도군 고금면 고금로 552,061-553-0907,http://ggjjj.tistory.com/,
18,고도리와이너리,경북 영천시 고경면 고도리 4943,054-335-3174,http://고도리와인.com,와인 만들기 체험 | 장소 | 고도리와이너리 | 내용 | 수확한 포도를 와인만들기 체험장으로 가지고 와서 농장주 소믈리에와 함께 와인만들기 체험을 합니다. 만든 와인은 통을 깨끗이 씻어 댁으로 가져가실 수 있으십니다. | 소요시간 | 2시간 | 투어비용 | 1만 3000원
19,고창명산품복분자주,고창군 아산면 복분자로 196,0507-1432-2034,https://bokbunjaju.modoo.at/,
20,고창서해안복분자주,전북 고창군 신림면 전봉준로 41430 고창서해안복분자주,063-564-7300,http://www.bokbunjajuwine.co.kr/,
21,고창선운산,전북 고창군 심원면 심원로 27073,061-561-6855,https://shopping.naver.com/fresh/traditionalalcohol/stores/100168768,
22,고헌정영농조합,충북 충주시 산척면 샛강영길 39,043-855-3333,https://smartstore.naver.com/gohunjung,
23,골목양조장,충청남도 예산군 예산읍 형제고개로 967 다동 3~8호,041-333-0923,https://backstreetbrewery.modoo.at/?NaPm=ct%3Dl8ecli9t%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D1b1a6c6712d2cee4ffbf9972c84e2a4cf74daa1e,
24,곰세마리양조장,서울특별시 관악구 신원로3가길 21 지층 (우 : 08774),050-6612-0048,https://smartstore.naver.com/3bearsmeadery,
25,공동체공간수작,"전라북도 완주군 동상면 단지길 37, 1층",,,
26,과천도가,경기도 과천시 남태령옛길 65,02-504-7017,https://buly.kr/15Mv0E2,
27,광양주조공사,전남 광양시 광양읍 예구8길 134,061-763-0025,http://kyju.inpiad.net/,
28,교동법주,경북 경주시 교촌안길 1921,054-772-2051,http://www.kyodongbeobju.com/,
29,구암농산,경북 청송군 얼음골로34065,054-873-3925,,
30,국순당고창명주,전북 고창군 심원면 선운대로 2197,063-564-9800,http://bokbunjaju.kr/,
31,국순당여주명주,경기도 여주시 강천면 부평로 330,080-0035-100,http://www.ksdyeoju.com/,
32,국순당횡성양조장,강원특별자치도 횡성군 둔내면 강변로 975,033-340-4300,http://drink.ksdb.co.kr/,"국순당 주향로 견학 | 장소 | 국순당 횡성양조장 | 내용 | 우리술 역사와 문화, 그리고 우리술이 만들어지는 과정을 체험할 수 있으며, 우리술 관련 전시물과 생산과정을 관람, 및 다양한 술을 시음할 수 있습니다. | 소요시간 | 1시간 30분 | 투어비용 | 무료"
33,그린영농조합,경기도 안산시 단원구 뻐꾹산길 107,032-886-9873,http://www.grandcoteau.co.kr,"양조장 투어 | 장소 | 그랑꼬또 와이너리 | 내용 | 와인의 역사,매너,한국의 음식문화와 와인 등 강의/와인 시음(3종, 4종) | 소요시간 | 30~40분, 1시간~1시간 30분 | 투어비용 | 10,000원/ 20,000원 | 와인 족욕 | 장소 | 그랑꼬또 와이너리 | 내용 | 히노끼 족욕기에서 따뜻한물로 족욕을 하되 발에 와인한병 부어드리고 와인한잔 시음 | 소요시간 | 30~40분 | 투어비용 | 20,000원"
34,그린피엠,경기도 이천시 신둔면 용면리 1014 전체,031-632-8899,https://www.nooruk.co.kr/index.html,
35,글린트증류소,서울특별시 강남구 영동대로122길 41 (삼성동),1551-1968,https://glint1968.com/,
36,금계당,"경북 안동시 일직면 돌고개길 9, 1층",054-853-0128,https://smartstore.naver.com/goldenchicken,
37,금군양조,전라북도 고창군 고창읍 태봉로564,080-8568-686,https://geumgunbrewery.com/HOME,
38,금산인삼주,충남 금산군 금성면 파초길 23,041-754-3313,www.insamwine.com,
39,금오도섬마을,전남 여수시 대유윗길47,010-7190-1944,https://campgold.modoo.at/,
40,금용농산,충청북도 영동군 용산면 법화길 54,010-5469-5858,https://smartstore.naver.com/miratto,
41,금이산농원,세종시 전의면 가느실길 127,044-863-3478,https://smartstore.naver.com/gumisan,
42,금정산성토산주,부산 금정구 산성로 453,051-517-6552,http://www.sanmak.kr/,
43,금풍양조,인천 강화군 길상면 삼랑성길 8,070-4400-1931,https://www.instagram.com/on_sul/,
44,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),070-4208-4290,https://smartstore.naver.com/mapcykorea,
45,김천과하주,경북 김천시 대항면 향천리 79101,054-436-4461,http://gwahaju.farmmoa.com/,
46,김천대학교자두사랑,경상북도 김천시 대학로 214,054-420-4155,https://jadusarang.modoo.at/?link=ahmcs6ry,
47,김포금쌀탁주영농조합,경기도 김포시 하성면 하성로 622,031-989-0104,www.gimporicewine.com,
48,김포도가두두,경기 김포시 양촌읍 김포대로1759번길 3341,031-998-3845,https://smartstore.naver.com/dogadudu,
49,김포양조,경기도 김포시 월곶면 김포대로 2763,031-989-5568,http://www.kimpo.co.kr/,
50,까치설,"전라남도 장흥군 장동면 석교상방이길 165, 까치설",010-9462-9134,https://smartstore.naver.com/magpieyear,
51,꿈브루어리,광주광역시 동구 동계천로95번길 1815 1층,,https://smartstore.naver.com/kkumuidaehwabykkumbrewery,
52,끌로너와,강원 삼척시 도계읍 문의재로 1274,,https://www.nurwa.co.kr/,
53,낙천,강원도 동해시 공단2로 73,033-522-1163,http://nakchun.modoo.at/,
54,낙천탁주제조장,강원도 동해시,,,
55,날씨양조장,서울 영등포구 도림로125가길 44 골목길 파란대문,0507-1399-5034,https://www.instagram.com/weather_brewery/,
