cocktail_id,drink_id
1,19
2,19
3,19
4,19
5,959
5,965
6,959
6,965
7,959
7,965
8,959
8,965
9,332
9,333
9,334
9,335
9,336
10,332
10,333
10,334
10,335
10,336
11,332
11,333
11,334
11,335
11,336
12,332
12,333
12,334
12,335
12,336
13,424
13,426
13,434
14,424
14,426
14,434
15,424
15,426
15,434
16,424
16,426
16,434
17,940
17,941
18,940
18,941
19,1207
19,1228
19,1229
20,1207
20,1228
20,1229
21,1207
21,1228
21,1229
22,1207
22,1228
22,1229
23,1207
23,1228
23,1229
24,715
24,716
24,718
25,70
26,715
26,716
26,718
27,715
27,716
27,718
28,70
48,70
50,1229
52,71
54,19
55,204
56,204
58,424
58,426
58,434
59,1229
60,736
61,940
61,941
62,1074
63,1228
64,426
65,1229
70,1207
70,1228
70,1229
72,940
72,941
73,1229
74,1229
75,138
75,139
76,332
76,333
76,334
76,335
76,336
77,1229
78,1074
79,1075
80,204
80,207
80,208
80,209
80,210
81,1229
82,424
82,426
82,434
