shop_id,shop_publication_id,shop_name,shop_address,shop_hours,shop_tel,shop_menu,shop_image_url
1,C000000328,가제트 술집,서울 마포구 양화진길 5,매일 17:00 ~ 01:30일요일 17:30 ~ 00:30,070-7529-7850,"막걸리, 감자전 등",https://thesool.com/common/imageView.do?targetId=D000001333
2,C000002711,거나하게,서울 강남구 역삼로14길 10 1층 거나하게,월~토 17:00-02:00(매주 일요일 정기휴무),0507-1324-1242,"갓김치를 곁들인 삼겹살조림, 명란 부추전, 살치살 타다끼, 닭도리탕, 칼빔면, 매운 돼지갈비, 황태채무침과 들기름국수, 쟌슨빌 소세지 스튜, 차돌박이 버섯 전골, 해물탕, 항정살 된장 구이, 새우파전, 육전과 참나물 무침, 두부 탕수",https://thesool.com/common/imageView.do?targetId=D000009887
3,C000002817,고도리,경북 경주시 포석로 1074 2층,매일 17:00-24:00,0507-1413-0277,"고도리 생 막걸리, 김부각 백김치 육회 타르타르, 경주 떡갈비 치즈 라자냐",https://thesool.com/common/imageView.do?targetId=D000010242
4,C000002698,고이장,서울 광진구 뚝섬로23길 60 1층,"일~목: 17:00- 02:00 (금, 토 17:00-03:00)",02-6406-6408,"한우 육회, 한우 육사시미, 간장 새우장, 스노우 한우육회, 고추장 한우육회, 고추장 찌개, 고추장 불고기",https://thesool.com/common/imageView.do?targetId=D000009841
5,C000003002,공간 뒷동산,서울 성북구 삼선교로2길 3,"수, 목, 금 18:00-23:00 / 토, 일 17:00-23:00 (매주 월, 화 정기휴무) / 22:00 라스트오더",0507-1387-3977,"제철채소 가제육, 제철채소 감자전",https://thesool.com/common/imageView.do?targetId=D000010955
6,C000000334,귀빈전,부산 북구 와석장터로 3 1층,17:30 ~ 2:00 / 일요일 휴무,051-852-3455,"귀빈모듬전, 막걸리 등",https://thesool.com/common/imageView.do?targetId=D000001369
7,C000002214,금남정,서울 성동구 금호산2길 18 1층,"매일 17:30-23:55 (매주 일요일 휴무, 격주 월요일 휴무)",0507-1359-3280,마늘 버터 명란 구이,https://thesool.com/common/imageView.do?targetId=D000008033
8,C000002537,까치호랑이,대전 유성구 궁동로18번길 61 2층,매일 18:00-새벽02:00 (매주 일요일 휴무)(매달 첫째주 월요일 휴무),0507-1418-1636,"새우 부추튀김,토종 닭 무침,호랑이 육전,된장수육 큰상,마라 순두부찌개",https://thesool.com/common/imageView.do?targetId=D000009234
9,C000002804,꽃술래,강원 춘천시 춘천로6번길 7 101호,화~일 17:00-24:00 (매주 월요일 정기휴무),0507-1424-0322,"춘천 닭갈비 타코 플레이트, 유자 항정살 참나물 샐러드, 봄나물 된장 목살 구이, 감태 크림 가리비찜, 상큼 레몬 닭튀김, 아롱사태 수육, 강원도 들깨 골동면",https://thesool.com/common/imageView.do?targetId=D000010193
10,C000002241,낯선한식븟다,서울 동작구 사당로30길 28 1층,"평일 11:40-22:00(점심 브레이크타임 13:30-15:30, 저녁 주문마감 21:00), 주말 13:00-22:00",0507-1314-5250,"대대포막걸리, 도문대작막걸리",https://thesool.com/common/imageView.do?targetId=D000008136
11,C000002950,누룩,경기 성남시 중원구 둔촌대로101번길 16-18 1층,월~일 17:00~02:00 (01:00 라스트오더),0507-1321-6423,"아보카도 한우 육회, 한우 육사시미, 미나리고기 묵은지김치찌개, 새우전, 부추마늘쫑 새꼬막무침과 비빔밥, 골뱅이 살사 카펠리니, 수비드 항정살 수육",https://thesool.com/common/imageView.do?targetId=D000010781
12,C000002368,"늘,안암",서울 성북구 고려대로24가길 13-2 1F,"매일 17:00-01:00, 정기휴무 인스타그램 공지(@neul.anam)",0507-1329-1748,"한우 도가니 어묵전골, 웅치기 닭, 늘 닭볶음탕, 늘 떡볶이",https://thesool.com/common/imageView.do?targetId=D000008616
13,C000000311,다모토리 히읗,서울 용산구 신흥로 31,"금, 토 18:00 ~ 01:00평일 18:00 ~ 00:00",070-8950-8362,"갈비구이와 부추샐러드, 막걸리 등",https://thesool.com/common/imageView.do?targetId=D000001231
14,C000002894,달밤마실,경기 남양주시 별내중앙로57번길 26 1층 달밤마실,월~목 17:00~02:00 (01:00 라스트오더) / 금~토 17:00~03:00 (02:00 라스트오더) (매주 일요일 정기휴무),0507-1346-0768,"모듬전, 모듬꼬치구이, 우삼겹갓김치파스타, 해물파전, 김치전",https://thesool.com/common/imageView.do?targetId=D000010547
15,C000000323,담은,서울 서초구 잠원동 69-2 반포쇼핑타운 4동 지하,매일 17:00 ~ 01:00,02-536-7500,"모듬전, 돈 담은 육전",https://thesool.com/common/imageView.do?targetId=D000001303
16,C000000304,더 그리핀 (The Griffin),서울 종로구 청계천로 279,매일 18:00 ~ 02:00,02-2276-3344,우리술 칵테일,https://thesool.com/common/imageView.do?targetId=D000001189
17,C000002456,도르리,서울 광진구 천호대로109길 7 1층,"매일 17:00-1:00 (화요일 휴무, 낮술 사전예약 및 4시대 오픈 가능)",02-6398-1010,"우니와 단새우, 제철조개술찜, 2+한우육회, 오믈렛 감자전, 명란구이",https://thesool.com/common/imageView.do?targetId=D000008935
18,C000000340,도전,강원도 강릉시 하슬라로 206번길 19-1 1층,월~토요일 16:00 ~ 02:00 일요일 16:00 ~ 24:00,033-645-2346,"꼬막무침, 홍어삼합",https://thesool.com/common/imageView.do?targetId=D000001405
19,C000002265,독도16,서울 종로구 자하문로33길 10 1층,"매일 18:00~21:00(월요일, 일요일 휴무)",0507-1359-1811,제철 생선 구이,https://thesool.com/common/imageView.do?targetId=D000008219
20,C000000337,동래할매파전,부산 동래구 명륜로94번길 43-10,매일 12:00 ~ 22:00월요일 휴무,051-552-0792,"동래파전, 동래고동찜, 골뱅이무침",https://thesool.com/common/imageView.do?targetId=D000001387
21,C000000305,두두,서울 종로구 동숭2길 3-4,매일 16:00 - 01:00,010-9119-1884,"명태무침보쌈, 명란구이",https://thesool.com/common/imageView.do?targetId=D000001195
22,C000003058,루나소사이어티,서울 종로구 삼일대로32길 49-5 1층,"화~토 17:00-23:00 (매주 일, 월 정기휴무)",0507-1371-0190,"항정살 요리, 소 편육, 그라브락스, 토마토 보릐쉬 스프",https://thesool.com/common/imageView.do?targetId=D000011171
23,C000000326,막걸리이야기,서울 서초구 사평대로28길 82 1층 8,"평일 18:00 ~ 22:00토요일 15:00 ~ 20:00일요일 휴무, 공휴일 휴무",02-588-1516,수육,https://thesool.com/common/imageView.do?targetId=D000001321
24,C000002615,막걸리전당,서울 관악구 봉천로 461-1 1층,매일 16:00 ~ 01:00,0507-1407-7103,"전당모둠전, 옛날모둠전, 국산전두부와볶음김치, 한통다골뱅이무침, 한돈육전, 홍어를무침, 쫄깃한무뼈닭발볶음, 오도독오돌뼈, 고추장불고기, 전당쌀떡볶이",https://thesool.com/common/imageView.do?targetId=D000009532
25,C000000327,막걸리학교,서울 서초구 방배천로 12-5 1층 막걸리학교,매일 15:00 ~ 01:00,02-6012-6550,"막걸리, 두부김치",https://thesool.com/common/imageView.do?targetId=D000001327
26,C000002272,명륜미술관,강원 원주시 남원로647번길 14 2층,"월-목 17:30-24:00, 금-토 17:30-01:00, 일요일 휴무",0507-1323-4525,"동해안 비단 조개탕, 가리비찜",https://thesool.com/common/imageView.do?targetId=D000008247
27,C000002943,명식탁,서울 은평구 연서로29길 30-5 1층,월~목 17:30~01:00 (00:00 라스트오더) / 금~토 17:30~02:00 (01:00 라스트오더) (매주 일요일 정기휴무),02-387-0101,"트러플 치즈 육회, 숙성회(무침), 항정 간장 수육, 명 육회, 매콤 찜닭",https://thesool.com/common/imageView.do?targetId=D000010748
28,C000002865,몽로주점,서울 구로구 새말로18길 20-11 1층,월~목 16:00~01:00 / 금~토 16:00~04:00 / 일요일 16:00~01:00 (03:30 라스트오더),0507-1332-3035,"두부김치, 해물파전, 김치전, 꼬막초무침, 김치오뎅탕",https://thesool.com/common/imageView.do?targetId=D000010423
