food_id,food_name
1,감자전
2,보쌈
3,모듬전
4,골뱅이무침
5,모든전
6,두부김치
7,회
8,피자
9,파스타
10,소고기
11,스테이크
12,치즈
13,족발
14,물김치
15,해물탕
16,맑은탕
18,조개찜
19,샐러드
20,해물찜
22,갈비찜
23,양곱창전골
24,한국
25,고기찜
26,생선회
27,막국수
28,굴전
29,홍어회
30,삼계탕
31,닭고기
32,돼지갈비
33,육회
34,장어
37,숙주볶음
38,백김치
39,고추전
40,육전
41,소꼬리찜
42,치킨
43,김치
45,육포
47,생선찜
48,장어구이
49,풍천장어구이
50,돼지고기
51,삼겹살
52,김치전
53,아구찜
54,굴찜
55,대게찜
56,칼국수
57,김치찜
58,튀김
59,파전
61,닭도리탕
63,양념갈비
64,소시지
65,젓굴갈비
66,매운탕
68,감자탕
69,제육볶음
70,숭어회
71,볶음
72,떡볶이
73,감자튀김
74,방어회
75,갑오징어회
76,곱창
77,전골
78,주꾸미볶음
81,고기국수
82,닭곰탕
83,만두전골
84,명란계란탕
85,삼색전
86,삼겹살찜
87,야채샐러드
90,호박전
91,멍게비빔밥
92,아구포
93,문어숙회
94,민어회
95,버섯전골
96,양꼬치
97,민물매운탕
98,홍합탕
99,오뎅탕
100,송어회
101,생선전
102,부추전
103,해물전
104,문어
105,숙회
106,감바스
107,누룽지탕
108,초밥
109,홍어삼합
110,해산물찜
112,돼지보쌈
114,홍합찜
117,샐러드
118,갈비
119,해물파전
123,소면
124,한치회
125,도미찜
126,곱창전골
127,닭갈비
131,튀김류
132,순대
133,참숭어회
134,양갈비
135,참치회
136,활어회
138,닭발
139,생선초밥
140,홍가리비찜
141,탕수육
142,빵
144,연어샐러드
145,오돌뼈
146,훈제오리
147,연포탕
148,조개탕
149,닭볶은탕
150,불닭갈비
151,광어회
152,냉채족발
153,닭볶음탕
154,낙지볶음
156,녹두전
158,안동갈비
162,순대볶음
164,떡갈비
165,오징어
166,담치국
168,석회
169,스파게티
170,조개
173,물회
174,고기완자전
175,복지리탕
176,배추전
177,등갈비찜
178,라면
179,비빔밥
180,막창
181,치즈떡갈비
182,연어회
183,돼지갈비찜
184,곱창볶음
185,낙지
186,새우전
187,추어탕
192,돈까스
193,불족발
194,조개구이
195,단호박찜
198,전복회
199,소라찜
200,돌문어숙회
201,삼치회
202,우동
203,쭈꾸미볶음
204,자장면
205,과일샐러드
206,완자전
207,장국
208,소고기국
209,미역국
210,계란국
212,새우튀김
213,아귀찜
214,산채비빔밥
215,훈제오리야채볶음
216,찜닭
217,고기전
220,돼지볶음
221,도다리쑥국
223,조기찜
225,생성회
228,생갈비
229,지리탕
230,고등어구이
231,두부전골
232,대구탕
233,동태전
234,곱창구이
237,평양냉면
238,미나리전
239,닭찜
241,김치볶음
242,연어스테이크
244,숙성회
245,오징어회
246,홍게찜
247,삼합
249,제철회
250,꽃게찜
251,동래파전
252,갈칫국
255,감자채전
256,사탕
257,당면
259,전복구이
260,미나리삼겹살
261,볶음면
262,고등어김치찜
265,땡초어묵
266,대패삼겹살
270,코다리찜
271,냉채요리
273,김치삼겹살
274,오징어볶음
276,산천어회
