name,entry_name,source_url,graph_src,axes_json,sweetness,sourness,freshness,body,balance,season
소백산생막걸리,소백산 생 막걸리,https://terms.naver.com/entry.naver?docId=3551543&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170113200941289_3U7DV36OV.jpg/fe87_059_i7.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",2,3,2,2,,가을
한산소곡주 생주,한산소곡주(생주),https://terms.naver.com/entry.naver?docId=3595239&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522135031764_JEITA3MPG.jpg/fe87_134_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",4,1,1,3,,가을
모월 청,모월 청,https://terms.naver.com/entry.naver?docId=6040786&cid=58637&categoryId=58652,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824194214387_EEIECNHRC.png/fe87_492_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",1,3,2,3,,가을
설성 만월 막걸리,설성 만월 막걸리,https://terms.naver.com/entry.naver?docId=3551541&cid=58637&categoryId=58656,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170113200826940_996QYR97O.jpg/fe87_057_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",2,3,2,3,,가을
고도리 복숭아와인,고도리 복숭아와인,https://terms.naver.com/entry.naver?docId=5681142&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_3/20230323160328922_261L1S2CL.jpg/fe87_258_i9.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",3,4,3,3,3,봄
The 찾을수록,The 찾을수록 시리즈,https://terms.naver.com/entry.naver?docId=5681200&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181012205011300_FXOIROHZP.png/fe87_241_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 2}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",4,2,3,2,,봄
한산소곡주,원조 한산소곡주,https://terms.naver.com/entry.naver?docId=5804432&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726140941262_J5V5Z6S8C.png/fe87_331_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",3,1,4,2,,여름
이도22,이도22,https://terms.naver.com/entry.naver?docId=6743428&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241212113537092_KKSS0OD6S.jpg/fe87_697_i4.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",1,1,1,2,3,가을
컨츄리 산머루 드라이,컨츄리 산머루 와인 (드라이),https://terms.naver.com/entry.naver?docId=3551517&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170113195640945_N127BICWB.jpg/fe87_033_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 2}]",1,3,,3,,가을
볼빨간막걸리 10,볼빨간막걸리 10,https://terms.naver.com/entry.naver?docId=6040758&cid=58637&categoryId=58645,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824201741913_3LP5XQHN8.png/fe87_506_i10.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 5}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}]",1,5,4,4,,가을
